몬스터 행동 ID (몬스터ID + 행동분류),해당 행동 텀,시전 횟수,액션 타임,행동 모형(1-사각형2-타원),행동 가로 넓이,행동 세로 길이,공격력 증가량,이동속도 증가량,행동 프리뷰 시간,행동 프리뷰 이미지 경로
actionID,repeatTerm,repeatTime,actionTime,actionShape,actionWidth,actionLength,attackBoost,speedBoost,pathPreviewTime,pathPreviewImage_Sprite
int,float,int,float,int,float,float,float,float,float,string
100101,0,1,2,1,2,3,0,0,0.3,
100201,0,1,2,1,2,3,0,0,0.3,
100301,0,1,2,1,2,3,0,0,0.3,
200101,0,1,2,1,2,3,0,0,0.3,
200102,0,1,1,,,,10,4,0,
200103,0,1,1,,,,0,0,0,
300101,0,1,2,1,3,4,0,0,0.3,
300104,0,1,1,2,6,6,0,0,0.5,
300105,1,5,1,2,2,1,0,0,1,
300106,0.2,5,1,2,2,1,0,0,1,
